company,word_count,sentence_count,avg_sentence_length,char_count,unique_words,flesch_reading_ease,flesch_kincaid_grade,legal_term_count,norm_word_count,norm_avg_sentence_length,norm_unique_words,norm_flesch_reading_ease,norm_legal_term_count,score_raw,obfuscation_score,label
Coinbase,3399,219,15.520547945205479,21823,941,31.601859164055384,14.171340042513368,18,0.10686,0.044289,0.199154,0.50194,0.119205,0.241194,24.12,Easy
Experian,1122,61,18.39344262295082,7189,437,30.021438300877833,14.33111055056671,0,0.022197,0.097488,0.056982,0.540517,0.0,0.221471,22.15,Easy
Datadog,3605,229,15.74235807860262,22971,885,33.76528343438082,13.204431665663908,15,0.114519,0.048396,0.183357,0.449131,0.099338,0.21895,21.9,Easy
X (Twitter),5284,270,19.57037037037037,32239,1271,38.10390764880617,13.78543742713967,11,0.176947,0.119282,0.292243,0.343226,0.072848,0.211438,21.14,Easy
Splunk,3738,253,14.774703557312254,24037,1050,35.08482880727823,13.293291382094342,17,0.119465,0.030477,0.229901,0.416921,0.112583,0.210995,21.1,Easy
Cisco,3738,253,14.774703557312254,24037,1050,35.08482880727823,13.293291382094342,17,0.119465,0.030477,0.229901,0.416921,0.112583,0.210995,21.1,Easy
Discord,5629,297,18.95286195286195,34825,1303,40.94031494309024,12.592512959796789,21,0.189775,0.107847,0.301269,0.273991,0.139073,0.199778,19.98,Easy
Signal,1972,122,16.16393442622951,12469,677,36.65231963470322,12.810410668986012,9,0.053802,0.056203,0.124683,0.378659,0.059603,0.176351,17.64,Easy
Goldman Sachs,1561,83,18.80722891566265,9686,523,36.583706293706285,14.028566433566436,3,0.03852,0.105151,0.081241,0.380334,0.019868,0.175354,17.54,Easy
LinkedIn,5055,320,15.796875,31544,1291,40.32049765807963,12.766888498568829,10,0.168433,0.049406,0.297884,0.28912,0.066225,0.17342,17.34,Easy
Adyen,2112,102,20.705882352941178,13163,613,38.87401866490339,13.107950968310742,5,0.059007,0.140309,0.106629,0.324428,0.033113,0.171813,17.18,Easy
SurveyMonkey,4687,357,13.128851540616246,29263,1121,41.16417262390078,11.924523445538021,23,0.15475,0.0,0.249929,0.268526,0.152318,0.164916,16.49,Easy
Barclays,1107,41,27.0,6545,377,41.94699918548352,13.940398660572878,0,0.02164,0.256862,0.040056,0.249418,0.0,0.157681,15.77,Easy
Vimeo,4152,278,14.93525179856115,25757,1210,42.557352890982315,11.803849580176124,13,0.134858,0.03345,0.275035,0.234519,0.086093,0.148652,14.87,Easy
Klarna,1050,54,19.444444444444443,6468,416,39.76521179900533,12.7252763962728,0,0.01952,0.11695,0.051058,0.302674,0.0,0.142231,14.22,Easy
Dropbox,2857,172,16.61046511627907,17644,838,42.577300476474136,12.445823903116935,11,0.086708,0.064472,0.170099,0.234032,0.072848,0.138279,13.83,Easy
Snapchat,5343,252,21.202380952380953,31987,1233,46.64299879859573,12.333718893780834,5,0.179141,0.149503,0.281523,0.13479,0.033113,0.137241,13.72,Easy
Pinterest,3288,171,19.228070175438596,19682,862,45.68692136041861,11.8692782394583,12,0.102733,0.112944,0.176869,0.158127,0.07947,0.127435,12.74,Easy
HSBC,2229,91,24.494505494505493,12676,608,46.67670295690269,13.00578066954412,4,0.063358,0.210466,0.105219,0.133967,0.02649,0.121661,12.17,Easy
Goodreads,951,56,16.982142857142858,5749,367,52.164956017956825,10.52672712933754,2,0.015839,0.071354,0.037236,0.0,0.013245,0.025795,2.58,Easy
